item_id,item_type,planned_manuscript_use,candidate_source_files,required_columns,available_columns,missing_columns,row_count,model_count,horizon_count,seed_count,can_be_used_for_plotting_directly,can_be_used_for_table_directly,risk_level,notes
Fig01,figure,"Study corridor, sparse FCD source, and leakage-controlled forecasting workflow.",data\raw\package_extracted\03_nodes\nodes.csv|data\raw\package_extracted\06_audit\coverage_by_granularity.csv|outputs\locked\phase13_full\tables\phase13_strong_baseline_metrics.csv|outputs\plot_data\Fig01_workflow_data.csv|outputs\tables\data_inventory.csv|outputs\tables\train_val_test_split_summary.csv,,,,,,,,YES,,LOW,No fix required.
Fig02,figure,"Forecasting performance against statistical, ML, and deep baselines.",outputs\locked\phase13_full\tables\phase13_strong_baseline_metrics.csv|outputs\tables\phase14_main_model_statistical_tests.csv,,,,metrics_rows=105 expected=105; parquet_checked=105,,,,YES,,LOW,No fix required.
Fig03,figure,Five-seed stability and paired improvement consistency.,outputs\locked\phase13_full\tables\phase13_strong_baseline_metrics.csv|outputs\manuscript_package\phase19_applied_intelligence\figures\Figure2_strong_baseline_mean_std.csv,,,,seed_level_rows=105 expected=105,,,,YES,,LOW,No fix required.
Fig04,figure,"Feature ablation of temporal, reliability, and volatility-aware groups.",outputs\tables\phase14_feature_ablation_statistical_tests.csv|outputs\tables\phase15_feature_ablation_metrics.csv,,,,phase15_rows=75 expected=75; parquet_checked=75,,,,YES,,LOW,No fix required.
Fig05,figure,"Stratified forecasting error under reliability, coverage, volatility, and traffic-state regimes.",outputs\final_plot_table_data\main_figures\Fig05_stratified_error.csv|outputs\tables\phase14_stratified_statistical_tests.csv|outputs\tables\phase17_coverage_stratified_metrics.csv|outputs\tables\phase17_reliability_stratified_metrics.csv|outputs\tables\phase17_traffic_state_stratified_metrics.csv|outputs\tables\phase17_volatility_stratified_metrics.csv,,,,phase17_stratified_rows=180 expected=180,,,,YES,,LOW,No fix required.
Fig06,figure,Error heterogeneity explained by data-quality and traffic-dynamics regimes.,outputs\final_result_diagnosis\final_stratified_interpretation.csv|outputs\tables\phase17_combined_stratified_summary.csv,,,,combined_stratified_summary_rows=36 raw strata rows; expected 36 raw or 12 derived best/worst rows,,,,YES,,LOW,No fix required.
Fig07,figure,"Robustness under missingness, observation noise, and limited training data.",outputs\tables\phase14_robustness_statistical_tests.csv|outputs\tables\phase16_degradation_summary.csv|outputs\tables\phase16_missingness_stress.csv|outputs\tables\phase16_noise_stress.csv|outputs\tables\phase16_small_sample_training.csv,,,,,,,,YES,,LOW,No fix required.
Table01,table,Dataset audit and experimental design.,data\raw\package_extracted\03_nodes\nodes.csv|data\raw\package_extracted\06_audit\coverage_by_granularity.csv|outputs\locked\phase13_full\tables\phase13_strong_baseline_metrics.csv|outputs\plot_data\Fig01_workflow_data.csv|outputs\tables\data_inventory.csv|outputs\tables\train_val_test_split_summary.csv,,,,,,,,,YES,LOW,No fix required.
Table02,table,Model settings and hyperparameters.,outputs\final_plot_table_data\main_tables\Table02_model_settings.csv,,,,,,,,,YES,LOW,No fix required.
Table03,table,Main performance statistics.,outputs\locked\phase13_full\tables\phase13_strong_baseline_metrics.csv|outputs\tables\phase14_final_mean_std_summary.csv|outputs\tables\phase14_main_model_statistical_tests.csv,,,,,,,,,YES,LOW,No fix required.
Table04,table,"Ablation, robustness, and stratified summary.",outputs\final_plot_table_data\main_figures\Fig05_stratified_error.csv|outputs\final_plot_table_data\main_tables\Table04_ablation_robustness_stratified_summary.csv|outputs\final_result_diagnosis\final_stratified_interpretation.csv|outputs\tables\phase14_feature_ablation_statistical_tests.csv|outputs\tables\phase14_robustness_statistical_tests.csv|outputs\tables\phase14_stratified_statistical_tests.csv|outputs\tables\phase15_feature_ablation_metrics.csv|outputs\tables\phase16_degradation_summary.csv|outputs\tables\phase16_missingness_stress.csv|outputs\tables\phase16_noise_stress.csv|outputs\tables\phase16_small_sample_training.csv|outputs\tables\phase17_combined_stratified_summary.csv|outputs\tables\phase17_coverage_stratified_metrics.csv|outputs\tables\phase17_reliability_stratified_metrics.csv|outputs\tables\phase17_traffic_state_stratified_metrics.csv|outputs\tables\phase17_volatility_stratified_metrics.csv,,,,,,,,,YES,LOW,No fix required.
Supplementary_METR_LA_mini,supplementary,external sanity check only,09_SUPPLEMENTARY_DATA,,,,75,5,3,5,GPT_REVIEW,GPT_REVIEW,MEDIUM,Proposed=TCN alias; do not overclaim.
Supplementary_prediction_parquets,supplementary,reproducibility/audit,07_PREDICTION_PARQUETS,,,,450,,,,NO,NO,LOW,Use for recomputation.
Supplementary_validation_logs,supplementary,validation evidence,10_CONFIGS_ENVIRONMENT_LOGS,,,,,,,,NO,NO,LOW,Use for reproducibility.
GitHub_Zenodo_metadata,metadata,repository/release prep,11_GITHUB_ZENODO_METADATA,,,,,,,,NO,NO,LOW,Ready for review placeholders remain.
