phase,experiment_name,status,main_scope,key_outputs,main_conclusion,usable_for_paper
Phase 1,Project audit and data inventory,completed and accepted,"Raw TomTom FCD audit, missingness, point coverage, continuity, quality groups",data_inventory.csv; missing_summary.csv; coverage_by_point.csv; phase1_data_audit_report.md,The 1h panel is sufficiently covered for forecasting; 7-day horizon should be stress-test rather than main task.,yes
Phase 2,Forecasting window construction,completed and accepted,Leakage-free chronological windows for 24h/72h/168h histories and multiple horizons,window_index_all.csv; phase2_panel_1h_model_ready.csv.gz; window_feasibility_by_horizon.csv,Leakage-free window index and train/validation/test split were constructed for main horizons.,yes
Phase 3,Baseline forecasting,"completed, accepted, locked","Persistence, HistoricalAverage, SeasonalHistoricalAverage, Ridge baselines for speed",phase3_baseline_metrics.csv; phase3_baseline_metrics_by_horizon.csv; phase3_baseline_report.md,SeasonalHistoricalAverage is a strong periodic baseline and the main comparator.,yes
Phase 4,Deep learning smoke test,"completed, accepted, locked","Small LSTM/TCN smoke test for data pipeline, shapes, logging and checkpoints",phase4_smoke_metrics.csv; phase4_deep_smoke_test_report.md,"Deep learning pipeline, validation loop, logging and checkpoint saving were verified; smoke-test accuracy was not used as final evidence.",methods appendix only
Phase 5,Controlled deep training,"completed, accepted, locked","TCN and LSTM with 24h history across 1h, 3h, 6h, 12h, 24h horizons",phase5_deep_vs_baseline_comparison.csv; phase5_deep_metrics_by_horizon.csv,"Deep models improve over the strong seasonal baseline at 1h, 3h and 6h, but not at 12h or 24h.",yes
Phase 6,Reliability-aware ablation,"completed, accepted, locked","TCN ablation over speed, time, reliability, volatility and full feature groups",phase6_ablation_metrics_by_group.csv; phase6_ablation_vs_speed_only.csv; phase6_ablation_vs_seasonal.csv,Speed-only is strongest overall; reliability indicators are more useful for diagnosis than direct accuracy gains in this high-coverage dataset.,yes
Phase 7,History-length sensitivity,"completed, accepted, locked","TCN speed-only with 24h, 72h and 168h histories for 1h, 3h and 6h horizons",phase7_history_best_by_horizon.csv; phase7_history_vs_seasonal.csv,"Best history is horizon-dependent: 72h for 1h, 168h for 3h, and 24h for 6h.",yes
Phase 8,Robustness and difficult-sample diagnosis,"completed, accepted, locked",Evaluation-only robustness diagnostics for Phase 7 best checkpoints,phase8_robustness_metrics.csv; phase8_error_by_volatility.csv; phase8_noise_stress_metrics.csv; phase8_missingness_stress_metrics.csv,High volatility is the dominant difficult-sample source; noise and missingness cause gradual degradation.,yes
Phase 9,Repeated-seed stability,completed with five-seed extension available,"Five-seed TCN speed-only stability for 1h, 3h and 6h best history settings",phase9_seed_summary_by_horizon.csv; phase9_seed_vs_seasonal.csv; phase9b_five_seed_summary_by_horizon.csv if available,Five-seed summary is used when available; all five seeds outperform SeasonalHistoricalAverage only where the summary flag is true.,yes
Phase 10,Public benchmark sanity check,completed; supplementary sanity check,METR-LA-mini five-seed TCN speed-only supplementary public benchmark sanity check,phase10_benchmark_seed_metrics.csv; phase10_benchmark_summary_by_horizon.csv; phase10_benchmark_vs_baseline.csv; phase10_public_benchmark_sanity_report.md,"The TCN speed-only pipeline completed on METR-LA-mini with five seeds; it outperforms HistoricalAverage but not Persistence, so it supports pipeline portability rather than benchmark superiority.",supplementary/appendix only
