figure_id,figure_title,source_files,required_columns,plot_type,recommended_location,main_message,csv_file,status
Fig01,Overall experimental workflow,final_phase_status_summary.csv,phase; experiment_name; status; main_scope; main_conclusion; usable_for_paper,workflow/table timeline,main text,Complete reproducible workflow from audit to final summaries.,outputs/plot_data/Fig01_workflow_data.csv,ok
Fig02,Main forecasting performance,final_main_forecasting_results.csv; final_seed_stability_summary.csv,source_phase; model; feature_group; history_hours; horizon_hours; MAE; RMSE; sMAPE,line/bar comparison,main text,Deep models improve short/medium horizons but do not dominate all horizons.,outputs/plot_data/Fig02_main_forecasting_performance.csv,ok
Fig03a,Five-seed Pan Borneo TCN stability,final_seed_stability_summary.csv; phase9b_five_seed_summary_by_horizon.csv,horizon_hours; history_hours; seed_count; MAE_mean; MAE_std; MAE_cv,bar with error bars,main text,Pan Borneo core model is stable across five seeds.,outputs/plot_data/Fig03_five_seed_stability_mean_std.csv,ok
Fig03b,Seed-level Pan Borneo MAE scatter,phase9b_five_seed_vs_seasonal.csv,seed; horizon_hours; history_hours; MAE; RMSE; sMAPE; SeasonalHistoricalAverage_MAE,scatter,main text,Every Pan Borneo seed outperforms the strong seasonal baseline.,outputs/plot_data/Fig03_seed_scatter.csv,ok
Fig03c,Improvement percent distribution,phase9b_five_seed_vs_seasonal.csv,seed; horizon_hours; history_hours; improvement_percent_vs_seasonal; outperforms_seasonal,box/strip plot,main text,Improvement over seasonal baseline is positive for all core horizons and seeds.,outputs/plot_data/Fig03_improvement_boxplot.csv,ok
Fig04,Feature ablation results,phase6_ablation_vs_speed_only.csv; phase6_ablation_vs_seasonal.csv,ablation_group; horizon_hours; MAE; RMSE; sMAPE,grouped bar/line,main text,Speed-only is strongest overall; reliability features are diagnostic rather than direct accuracy boosters.,outputs/plot_data/Fig04_ablation_data.csv,ok
Fig05,History-length sensitivity,phase7_history_vs_seasonal.csv,history_hours; horizon_hours; MAE; RMSE; sMAPE; is_best_history_for_horizon,line/small multiples,main text,Optimal history length is horizon-dependent.,outputs/plot_data/Fig05_history_sensitivity_data.csv,ok
Fig06,Volatility-stratified prediction error,phase8_error_by_volatility.csv,horizon_hours; volatility_bin; n; MAE; RMSE; sMAPE,grouped bar,main text,High volatility is the dominant difficult-sample source.,outputs/plot_data/Fig06_volatility_error_data.csv,ok
Fig07a,Missingness stress test,phase8_missingness_stress_metrics.csv,history_hours; horizon_hours; missing_level; n; MAE; RMSE; sMAPE,line,main text,Missingness stress causes gradual degradation.,outputs/plot_data/Fig07_missingness_stress_data.csv,ok
Fig07b,Noise stress test,phase8_noise_stress_metrics.csv,history_hours; horizon_hours; noise_level; n; MAE; RMSE; sMAPE,line,main text,Noise stress causes gradual degradation.,outputs/plot_data/Fig07_noise_stress_data.csv,ok
Fig07c,Small-sample training sensitivity,phase8_small_sample_metrics.csv,train_ratio; horizon_hours; model; feature_group; mae; rmse; smape; n_train_windows; n_test_windows,line with seed standard-deviation bands,main text,Limited chronological training samples test robustness beyond input perturbations.,outputs/plot_data/Fig07_small_sample_training_data.csv,ok
Fig07d,Overall degradation summary,phase8_missingness_stress_metrics.csv; phase8_noise_stress_metrics.csv; phase8_small_sample_metrics.csv,stress_type; worst_case_mae_increase_pct,compact bar,main text,"Worst-case degradation summarizes missingness, noise, and limited-training robustness.",outputs/plot_data/Fig07_degradation_summary_data.csv,ok
Fig07_support,Combined noise and missingness support data,phase8_noise_stress_metrics.csv; phase8_missingness_stress_metrics.csv,perturbation_type; perturbation_level; horizon_hours; horizon_label; MAE; RMSE; sMAPE,supporting line/facet,supporting data,Backward-compatible combined perturbation data.,outputs/plot_data/Fig07_noise_missingness_combined_data.csv,ok
FigA1,Supplementary public benchmark sanity check,final_public_benchmark_summary.csv; phase10_benchmark_vs_baseline.csv; phase10_figure_seed_scatter.csv,dataset; model; seed_count; MAE_mean; MAE_std; MAE_cv; baseline_name; baseline_MAE; seed; MAE,appendix summary/scatter,appendix,"Public benchmark supports pipeline portability, not benchmark superiority.",outputs/plot_data/FigA1_public_benchmark_sanity_data.csv,ok
Table1,Paper-ready main forecasting results,final_main_forecasting_results.csv; final_seed_stability_summary.csv,result_group; model; history_hours; horizon_hours; MAE; MAE_std; RMSE; sMAPE,paper table,main text,Compact main results table.,outputs/plot_data/Table_main_results_for_paper.csv,ok
Table2,Paper-ready empirical findings,final_empirical_findings_summary.csv,finding_id; finding; supporting_phase; supporting_metric; paper_interpretation; caution_or_limitation,paper table,main text or discussion,Concise paper-level findings and limitations.,outputs/plot_data/Table_key_findings_for_paper.csv,ok
